Name:MohamedSaied
Date: 2020-07-3

IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
6, AKAZE, BRIEF, 1363, 173, 111.93, 1.90687, 146, 0.829376
7, AKAZE, BRIEF, 1331, 175, 118.365, 0.933457, 150, 0.877758
8, AKAZE, BRIEF, 1357, 177, 110.744, 0.925765, 148, 0.909826
9, AKAZE, BRIEF, 1331, 179, 110.332, 0.928309, 152, 0.9438

0, AKAZE, ORB, 1351, 166, 117.729, 3.50312, 0, 0
1, AKAZE, ORB, 1327, 157, 114.131, 3.22446, 131, 0.873065
2, AKAZE, ORB, 1311, 161, 110.769, 3.24158, 129, 0.815275
3, AKAZE, ORB, 1351, 155, 113.439, 3.12893, 127, 0.843923
4, AKAZE, ORB, 1360, 163, 120.787, 3.1666, 117, 0.829717
5, AKAZE, ORB, 1347, 164, 111.176, 3.22622, 130, 0.866853
6, AKAZE, ORB, 1363, 173, 113.205, 3.2449, 131, 0.891696
7, AKAZE, ORB, 1331, 175, 122.034, 3.25154, 137, 0.926378
8, AKAZE, ORB, 1357, 177, 112.114, 3.72538, 135, 1.27887
9, AKAZE, ORB, 1331, 179, 110.653, 3.38773, 145, 0.983507

0, AKAZE, FREAK, 1351, 166, 122.297, 49.6634, 0, 0
1, AKAZE, FREAK, 1327, 157, 113.612, 48.9001, 126, 0.872895
2, AKAZE, FREAK, 1311, 161, 114.901, 50.0009, 129, 0.857851
3, AKAZE, FREAK, 1351, 155, 113.758, 50.7328, 127, 0.830707
4, AKAZE, FREAK, 1360, 163, 113.632, 51.9507, 121, 0.840395
5, AKAZE, FREAK, 1347, 164, 111.569, 55.4403, 122, 0.887541
6, AKAZE, FREAK, 1363, 173, 113.561, 55.7359, 133, 0.899916
7, AKAZE, FREAK, 1331, 175, 114.562, 55.9255, 144, 0.955233
8, AKAZE, FREAK, 1357, 177, 113.866, 55.4971, 147, 0.986412
9, AKAZE, FREAK, 1331, 179, 115.71, 51.0594, 138, 1.01231

0, AKAZE, AKAZE, 1351, 166, 119.12, 99.6276, 0, 0
1, AKAZE, AKAZE, 1327, 157, 111.01, 100.479, 138, 0.969878
2, AKAZE, AKAZE, 1311, 161, 111.891, 91.493, 138, 0.948935
3, AKAZE, AKAZE, 1351, 155, 119.458, 108.624, 133, 0.926616
4, AKAZE, AKAZE, 1360, 163, 111.112, 96.1307, 127, 0.915016
5, AKAZE, AKAZE, 1347, 164, 119.872, 101.579, 129, 1.00125
6, AKAZE, AKAZE, 1363, 173, 119.331, 106.155, 146, 1.0764
7, AKAZE, AKAZE, 1331, 175, 119.738, 107.618, 147, 1.10739
8, AKAZE, AKAZE, 1357, 177, 117.934, 107.828, 151, 1.13294
9, AKAZE, AKAZE, 1331, 179, 117.89, 106.542, 150, 1.14232

0, AKAZE, SIFT, 1351, 166, 119.258, 33.7645, 0, 0
1, AKAZE, SIFT, 1327, 157, 107.427, 33.3761, 134, 1.09186
2, AKAZE, SIFT, 1311, 161, 116.554, 33.6599, 134, 1.04586
3, AKAZE, SIFT, 1351, 155, 106.94, 37.8034, 130, 1.02242
4, AKAZE, SIFT, 1360, 163, 118.459, 35.8102, 136, 1.07248
5, AKAZE, SIFT, 1347, 164, 113.625, 34.9204, 137, 1.10644
6, AKAZE, SIFT, 1363, 173, 105.577, 35.4834, 147, 1.5859
7, AKAZE, SIFT, 1331, 175, 107.036, 35.7557, 147, 1.23983
8, AKAZE, SIFT, 1357, 177, 107.524, 35.7394, 154, 1.23731
9, AKAZE, SIFT, 1331, 179, 104.695, 35.4427, 151, 1.65686

0, SIFT, BRISK, 1438, 138, 168.724, 1.82745, 0, 0
1, SIFT, BRISK, 1371, 132, 168.955, 1.7826, 64, 0.685635
2, SIFT, BRISK, 1380, 124, 171.581, 1.71346, 66, 0.79349
3, SIFT, BRISK, 1335, 137, 170.49, 1.80994, 62, 0.616949
4, SIFT, BRISK, 1305, 134, 166.981, 1.84672, 66, 0.690814
5, SIFT, BRISK, 1370, 140, 173.534, 1.85213, 59, 0.673787
6, SIFT, BRISK, 1396, 137, 170.332, 1.83761, 64, 0.681981
7, SIFT, BRISK, 1382, 148, 167.912, 1.94256, 64, 0.713333
8, SIFT, BRISK, 1463, 159, 171.553, 2.06052, 67, 0.750906
9, SIFT, BRISK, 1422, 137, 172.403, 1.80158, 80, 0.751121

0, SIFT, BRIEF, 1438, 138, 165.456, 0.863939, 0, 0
1, SIFT, BRIEF, 1371, 132, 169.944, 0.822798, 86, 0.609405
2, SIFT, BRIEF, 1380, 124, 164.511, 0.784473, 78, 0.540072
3, SIFT, BRIEF, 1335, 137, 170.001, 0.822865, 76, 0.540037
4, SIFT, BRIEF, 1305, 134, 169.367, 0.797435, 85, 0.583562
5, SIFT, BRIEF, 1370, 140, 168.047, 0.878861, 69, 0.593611
6, SIFT, BRIEF, 1396, 137, 172.496, 0.964943, 74, 0.606909
7, SIFT, BRIEF, 1382, 148, 167.3, 0.85952, 76, 0.640502
8, SIFT, BRIEF, 1463, 159, 170.233, 0.90943, 70, 0.926624
9, SIFT, BRIEF, 1422, 137, 172.941, 0.872953, 88, 0.670517

0, SIFT, FREAK, 1438, 138, 164.161, 50.2409, 0, 0
1, SIFT, FREAK, 1371, 132, 171.384, 51.4527, 65, 0.618065
2, SIFT, FREAK, 1380, 124, 164.736, 50.2943, 72, 0.598586
